受付番号,トラブル内容,手配区分
SO-2504-37212,パンク,レッカー
SO-2504-37240,その他,レッカー
SO-2504-37262,エンスト,レッカー
SO-2504-37299,インロック,インロック（ドア）
SO-2504-37356,インロック,インロック（ドア）
SO-2504-37366,インロック,インロック（ドア）
SO-2504-37389,バッテリー,"その他（故障）,レッカー"
SO-2504-37424,事故,レッカー
SO-2504-37468,その他,レッカー
SO-2504-37511,その他,レッカー
SO-2504-37526,エンジン不始動,"その他（故障）,レッカー"
SO-2504-37527,エンジン不始動,ジャンピング
SO-2504-37558,パンク,レッカー
SO-2504-37567,エンスト,レッカー
SO-2504-37579,エンスト,レッカー
SO-2504-37734,パンク,レッカー
SO-2504-37773,その他,レッカー
SO-2504-37781,オーバーヒート,レッカー
SO-2504-37941,その他,レッカー
SO-2504-37972,パンク,レッカー
SO-2504-37974,バッテリー,ジャンピング
SO-2504-37998,ガス欠,ガソリン配達（新規契約）
SO-2504-38025,事故,レッカー
SO-2504-38035,バッテリー,ジャンピング
SO-2504-38043,バッテリー,バッテリー販売
SO-2504-38051,バッテリー,ジャンピング
SO-2504-38107,バッテリー,ジャンピング
SO-2504-38179,パンク,レッカー
SO-2504-38407,事故,"横転・転覆・落車,レッカー"
SO-2504-38453,パンク,スペア交換
SO-2504-38457,エンジン不始動,"その他（故障）,レッカー"
SO-2504-38467,エンスト,レッカー
SO-2504-38481,パンク,スペア交換
SO-2504-38486,事故,"レッカー,脱輪・乗り上げ2本超"
SO-2504-38498,パンク,レッカー
SO-2504-38699,エンスト,レッカー
SO-2504-38880,その他,レッカー
SO-2504-38883,バッテリー,バッテリー販売
SO-2504-38888,エンジン不始動,バッテリー販売
SO-2504-38973,オーバーヒート,レッカー
SO-2504-38992,パンク,レッカー
SO-2504-39032,事故,レッカー
SO-2504-39038,バッテリー,バッテリー販売
SO-2504-39076,ガス欠,ガソリン配達（継続契約）
SO-2504-39085,パンク,レッカー
SO-2504-39100,ガス欠,ガソリン配達（新規契約）
SO-2504-39120,バッテリー,バッテリー販売
SO-2504-39134,事故,"追衝突の引き出し,レッカー"
SO-2504-39188,バッテリー,ジャンピング
SO-2504-39253,パンク,レッカー
SO-2504-39315,事故,レッカー
SO-2504-39317,その他,レッカー
SO-2504-39383,パンク,レッカー
SO-2504-39445,その他,レッカー
SO-2504-39478,エンジン不始動,レッカー
SO-2504-39519,事故,"レッカー,追衝突の引き出し"
SO-2504-39562,パンク,レッカー
SO-2504-39600,その他,レッカー
SO-2504-39611,インロック,インロック（ドア）
SO-2504-39742,バッテリー,ジャンピング
SO-2504-39757,バッテリー,ジャンピング
SO-2504-39765,スタック,スタック（無料）
SO-2504-39786,その他,レッカー
SO-2504-39830,バッテリー,"ジャンピング,インロック（ドア）"
SO-2504-39855,インロック,インロック（ドア）
SO-2504-39872,事故,"レッカー,追衝突の引き出し"
SO-2504-39879,パンク,スペア交換（事故）
SO-2504-39932,パンク,レッカー
SO-2504-40023,インロック,インロック（ドア）
SO-2504-40067,パンク,レッカー
SO-2504-40077,エンジン不始動,ジャンピング
SO-2504-40079,パンク,"その他（故障）,レッカー"
SO-2504-40083,パンク,レッカー
SO-2504-40088,パンク,レッカー
SO-2504-40122,その他,レッカー
SO-2504-40133,パンク,レッカー
SO-2504-40236,パンク,レッカー
SO-2504-40326,事故,"レッカー,追衝突の引き出し"
SO-2504-40383,パンク,レッカー
SO-2504-40389,その他,レッカー
SO-2504-40444,インロック,インロック（ドア）
SO-2504-40468,バッテリー,"その他（故障）,レッカー"
SO-2504-40498,エンジン不始動,ジャンピング
SO-2504-40514,事故,"レッカー,その他（事故）"
SO-2504-40525,エンスト,レッカー
SO-2504-40528,事故,"レッカー,横転・転覆・落車"
SO-2504-40555,エンスト,レッカー
SO-2504-40568,パンク,レッカー
SO-2504-40584,バッテリー,ジャンピング
SO-2504-40669,その他,レッカー
SO-2504-40671,事故,追衝突の引き出し
SO-2504-40706,エンスト,レッカー
SO-2504-40779,パンク,レッカー
SO-2504-40858,事故,レッカー
SO-2504-40860,事故,レッカー
SO-2504-40863,パンク,スペア交換
SO-2504-40882,パンク,レッカー
SO-2504-40939,パンク,レッカー
SO-2504-40954,事故,レッカー
SO-2504-40955,ガス欠,ガソリン配達（継続契約）
SO-2504-40958,ガス欠,ガソリン配達（継続契約）
SO-2504-40961,ガス欠,ガソリン配達（継続契約）
SO-2504-40975,事故,レッカー
SO-2504-41008,その他,レッカー
SO-2504-41023,その他,レッカー
SO-2504-41092,エンスト,レッカー
SO-2504-41120,事故,レッカー
SO-2504-41228,その他,レッカー
SO-2504-41282,パンク,パンク修理
SO-2504-41349,その他,その他（故障）
SO-2504-41374,パンク,レッカー
SO-2504-41418,バッテリー,ジャンピング
SO-2504-41420,パンク,レッカー
SO-2504-41428,パンク,レッカー
SO-2504-41517,事故,レッカー
SO-2504-41772,エンスト,レッカー
SO-2504-41835,バッテリー,ジャンピング
SO-2504-41836,バッテリー,ジャンピング
SO-2504-41841,パンク,レッカー
SO-2504-41854,パンク,スペア交換
SO-2504-41861,エンスト,レッカー
SO-2504-41866,パンク,レッカー
SO-2504-41890,パンク,スペア交換（事故）
SO-2504-41895,事故,レッカー
SO-2504-41996,その他,レッカー
SO-2504-42009,,整備後車両回送
SO-2504-42035,パンク,レッカー
SO-2504-42069,パンク,スペア交換（事故）
SO-2504-42072,インロック,インロック（ドア）
SO-2504-42253,パンク,レッカー
SO-2504-42461,事故,"レッカー,脱輪・乗り上げ2本超"
SO-2504-42467,バッテリー,ジャンピング
SO-2504-42469,パンク,レッカー
SO-2504-42477,事故,レッカー
SO-2504-42511,エンスト,レッカー
SO-2504-42552,バッテリー,ジャンピング
SO-2504-42587,その他,レッカー
SO-2504-42641,パンク,レッカー
SO-2504-42688,その他,レッカー
SO-2504-42755,パンク,レッカー
SO-2504-42785,事故,レッカー
SO-2504-42815,事故,レッカー
SO-2504-42817,パンク,スペア交換
SO-2504-42948,事故,レッカー
SO-2504-42974,バッテリー,ジャンピング
SO-2504-42988,ガス欠,ガソリン配達（継続契約）
SO-2504-43004,バッテリー,ジャンピング
SO-2504-43011,その他,レッカー
SO-2504-43018,エンスト,レッカー
SO-2504-43111,パンク,レッカー
SO-2504-43161,インロック,インロック（ドア）
SO-2504-43253,パンク,"レッカー,スペア交換（事故）"
SO-2504-43346,その他,レッカー
SO-2504-43379,バッテリー,ジャンピング
SO-2504-43387,脱輪,脱輪・乗り上げ1本
SO-2504-43398,パンク,レッカー
SO-2504-43445,事故,レッカー
SO-2504-43448,パンク,スペア交換
SO-2504-43465,インロック,インロック（ドア）
SO-2504-43466,その他,レッカー
SO-2504-43499,パンク,レッカー
SO-2504-43544,その他,レッカー
SO-2504-43547,パンク,レッカー
SO-2504-43598,事故,追衝突の引き出し
SO-2504-43728,その他,レッカー
SO-2504-43756,事故,レッカー
SO-2504-43765,その他,その他（故障）
SO-2504-43766,パンク,レッカー
SO-2504-43786,バッテリー,ジャンピング
SO-2504-43876,その他,レッカー
SO-2504-43931,その他,レッカー
SO-2504-43939,バッテリー,ジャンピング
SO-2504-44098,パンク,パンク修理
SO-2504-44150,パンク,スペア交換（事故）
SO-2504-44157,事故,レッカー
SO-2504-44162,パンク,スペア交換（事故）
SO-2504-44217,エンスト,レッカー
SO-2504-44274,事故,レッカー
SO-2504-44290,パンク,レッカー
SO-2504-44314,事故,レッカー
SO-2504-44368,インロック,インロック（ドア）
SO-2504-44380,オーバーヒート,レッカー
SO-2504-44383,エンスト,レッカー
SO-2504-44387,パンク,レッカー
SO-2504-44392,パンク,レッカー
SO-2504-44398,バッテリー,ジャンピング
SO-2504-44414,その他,レッカー
SO-2505-30008,パンク,"レッカー,スペア交換（事故）"
SO-2505-30088,バッテリー,ジャンピング
SO-2505-30122,パンク,レッカー
SO-2505-30124,パンク,レッカー
SO-2505-30218,バッテリー,バッテリー販売
SO-2505-30260,事故,レッカー
SO-2505-30302,その他,レッカー
SO-2505-30324,その他,その他（故障）
SO-2505-30383,その他,"レッカー,その他（故障）"
SO-2505-30389,事故,レッカー
SO-2505-30429,その他,レッカー
SO-2505-30440,その他,レッカー
SO-2505-30444,バッテリー,その他（故障）
SO-2505-30450,エンスト,"ジャンピング,その他（故障）"
SO-2505-30468,パンク,スペア交換
SO-2505-30469,事故,レッカー
SO-2505-30566,パンク,レッカー
SO-2505-30632,パンク,スペア交換（事故）
SO-2505-30656,インロック,インロック（ドア）
SO-2505-30699,パンク,レッカー
SO-2505-30700,パンク,レッカー
SO-2505-30719,インロック,インロック（ドア）
SO-2505-30729,その他,その他（故障）
SO-2505-30841,事故,レッカー
SO-2505-30893,パンク,レッカー
SO-2505-30918,事故,脱輪・乗り上げ2本超
SO-2505-30934,事故,レッカー
SO-2505-30940,エンスト,レッカー
SO-2505-30997,バッテリー,ジャンピング
SO-2505-31000,事故,レッカー
SO-2505-31002,事故,レッカー
SO-2505-31058,エンジン不始動,レッカー
SO-2505-31093,エンスト,レッカー
SO-2505-31105,パンク,レッカー
SO-2505-31132,パンク,レッカー
SO-2505-31144,その他,レッカー
SO-2505-31186,その他,その他（事故）
SO-2505-31317,事故,レッカー
SO-2505-31324,事故,レッカー
SO-2505-31382,エンジン不始動,ガソリン配達（継続契約）
SO-2505-31413,バッテリー,ジャンピング
SO-2505-31419,その他,レッカー
SO-2505-31420,事故,追衝突の引き出し
SO-2505-31473,パンク,レッカー
SO-2505-31492,パンク,レッカー
SO-2505-31525,その他,その他（故障）
SO-2505-31546,事故,レッカー
SO-2505-31667,その他,レッカー
SO-2505-31742,その他,レッカー
SO-2505-31751,脱輪,追衝突の引き出し
SO-2505-31768,スタック,スタック（無料）
SO-2505-31782,オーバーヒート,レッカー
SO-2505-31788,パンク,レッカー
SO-2505-31831,その他,レッカー
SO-2505-31841,事故,レッカー
SO-2505-31860,その他,レッカー
SO-2505-31930,バッテリー,ジャンピング
SO-2505-32020,オーバーヒート,レッカー
SO-2505-32035,その他,レッカー
SO-2505-32043,事故,レッカー
SO-2505-32048,バッテリー,ジャンピング
SO-2505-32052,パンク,レッカー
SO-2505-32066,事故,レッカー
SO-2505-32091,バッテリー,ジャンピング
SO-2505-32253,事故,レッカー
SO-2505-32267,インロック,インロック（ドア）
SO-2505-32335,バッテリー,ジャンピング
SO-2505-32366,その他,レッカー
SO-2505-32381,その他,レッカー
SO-2505-32414,その他,レッカー
SO-2505-32454,その他,レッカー
SO-2505-32471,パンク,レッカー
SO-2505-32506,パンク,レッカー
SO-2505-32514,その他,レッカー
SO-2505-32516,バッテリー,"その他（故障）,レッカー"
SO-2505-32522,エンジン不始動,レッカー
SO-2505-32528,パンク,レッカー
SO-2505-32551,パンク,レッカー
SO-2505-32553,パンク,レッカー
SO-2505-32562,オーバーヒート,レッカー
SO-2505-32572,事故,"レッカー,追衝突の引き出し"
SO-2505-32574,バッテリー,ジャンピング
SO-2505-32578,バッテリー,ジャンピング
SO-2505-32586,その他,その他（故障）
SO-2505-32634,エンスト,レッカー
SO-2505-32815,スタック,スタック（無料）
SO-2505-32842,事故,レッカー
SO-2505-32846,スタック,スタック（無料）
SO-2505-33028,バッテリー,ジャンピング
SO-2505-33032,その他,レッカー
SO-2505-33039,その他,レッカー
SO-2505-33051,バッテリー,ジャンピング
SO-2505-33056,脱輪,"脱輪・乗り上げ1本,レッカー"
SO-2505-33073,パンク,レッカー
SO-2505-33169,パンク,パンク修理
SO-2505-33200,その他,レッカー
SO-2505-33209,エンスト,レッカー
SO-2505-33292,その他,レッカー
SO-2505-33303,その他,レッカー
SO-2505-33351,パンク,レッカー
SO-2505-33504,事故,"レッカー,追衝突の引き出し"
SO-2505-33613,バッテリー,"レッカー,ジャンピング"
SO-2505-33797,その他,その他（故障）
SO-2505-33860,バッテリー,バッテリー販売
SO-2505-33870,その他,レッカー
SO-2505-33872,バッテリー,バッテリー販売
SO-2505-33925,事故,レッカー
SO-2505-34076,バッテリー,ジャンピング
SO-2505-34162,オーバーヒート,レッカー
SO-2505-34163,パンク,スペア交換
SO-2505-34164,その他,レッカー
SO-2505-34217,その他,レッカー
SO-2505-34350,パンク,スペア交換（事故）
SO-2505-34444,ガス欠,ガソリン配達（継続契約）
SO-2505-34534,パンク,スペア交換（事故）
SO-2505-34548,事故,レッカー
SO-2505-34555,パンク,レッカー
SO-2505-34556,バッテリー,ジャンピング
SO-2505-34565,バッテリー,バッテリー販売
SO-2505-34620,その他,レッカー
SO-2505-34628,パンク,レッカー
SO-2505-34647,事故,"レッカー,横転・転覆・落車"
SO-2505-34677,バッテリー,ジャンピング
SO-2505-34690,事故,レッカー
SO-2505-34770,バッテリー,ジャンピング
SO-2505-34823,オーバーヒート,レッカー
SO-2505-34913,事故,レッカー
SO-2505-34947,エンジン不始動,その他（故障）
SO-2505-35004,パンク,レッカー
SO-2505-35007,事故,追衝突の引き出し
SO-2505-35042,事故,レッカー
SO-2505-35068,パンク,レッカー
SO-2505-35093,パンク,レッカー
SO-2505-35119,その他,レッカー
SO-2505-35140,その他,レッカー
SO-2505-35147,パンク,レッカー
SO-2505-35160,バッテリー,ジャンピング
SO-2505-35161,事故,レッカー
SO-2505-35193,事故,レッカー
SO-2505-35223,エンスト,レッカー
SO-2505-35344,その他,レッカー
SO-2505-35401,その他,レッカー
SO-2505-35475,インロック,インロック（ドア）
SO-2505-35555,ガス欠,ガソリン配達（新規契約）
SO-2505-35556,バッテリー,ジャンピング
SO-2505-35565,事故,"レッカー,横転・転覆・落車"
SO-2505-35566,事故,"レッカー,その他（事故）"
SO-2505-35592,事故,"レッカー,追衝突の引き出し"
SO-2505-35652,パンク,スペア交換
SO-2505-35722,事故,レッカー
SO-2505-35749,スタック,スタック（無料）
SO-2505-35826,事故,"レッカー,追衝突の引き出し"
SO-2505-35942,インロック,インロック（ドア）
SO-2505-36116,事故,レッカー
SO-2505-36177,事故,レッカー
SO-2505-36223,インロック,インロック（ドア）
SO-2505-36362,インロック,インロック（ドア）
SO-2505-36414,パンク,レッカー
SO-2505-36440,バッテリー,ジャンピング
SO-2505-36444,バッテリー,ジャンピング
SO-2505-36446,パンク,レッカー
SO-2505-36486,パンク,レッカー
SO-2505-36694,インロック,インロック（ドア）
SO-2505-36698,事故,"レッカー,脱輪・乗り上げ2本超"
SO-2505-36729,その他,レッカー
SO-2505-36807,エンスト,レッカー
SO-2505-36813,パンク,レッカー
SO-2505-36854,その他,レッカー
SO-2505-36906,パンク,レッカー
SO-2505-36990,事故,レッカー
SO-2505-37091,その他,レッカー
SO-2505-37254,バッテリー,ジャンピング
SO-2505-37261,パンク,レッカー
SO-2505-37269,パンク,スペア交換（事故）
SO-2505-37275,その他,レッカー
SO-2505-37299,パンク,スペア交換
SO-2505-37401,その他,レッカー
SO-2505-37523,インロック,インロック（ドア）
SO-2505-37536,エンスト,レッカー
SO-2505-37651,その他,レッカー
SO-2505-37664,その他,レッカー
SO-2505-37678,エンスト,レッカー
SO-2505-37685,インロック,インロック（ドア）
SO-2505-37698,事故,レッカー
SO-2505-37708,その他,その他（故障）
SO-2505-37710,パンク,レッカー
SO-2505-37808,その他,レッカー
SO-2505-37913,エンスト,レッカー
SO-2505-37962,スタック,スタック（無料）
SO-2505-38003,パンク,スペア交換（事故）
SO-2505-38069,バッテリー,バッテリー販売
SO-2505-38170,事故,レッカー
SO-2505-38201,インロック,インロック（ドア）
SO-2505-38222,パンク,レッカー
SO-2505-38229,その他,その他（故障）
SO-2505-38466,その他,"レッカー,その他（故障）"
SO-2505-38476,エンジン不始動,"レッカー,その他（故障）"
SO-2505-38504,事故,"レッカー,脱輪・乗り上げ2本超"
SO-2505-38505,インロック,インロック（ドア）
SO-2505-38516,オーバーヒート,レッカー
SO-2505-38519,エンスト,レッカー
SO-2505-38576,その他,レッカー
SO-2505-38624,インロック,インロック（ドア）
SO-2505-38692,事故,ジャンピング
SO-2505-38702,パンク,レッカー
SO-2505-38705,その他,レッカー
SO-2505-38719,パンク,レッカー
SO-2505-38720,事故,レッカー
SO-2505-38745,パンク,パンク修理
SO-2505-38854,パンク,レッカー
SO-2505-38855,その他,レッカー
SO-2505-38941,その他,レッカー
SO-2505-39127,エンスト,レッカー
SO-2505-39131,パンク,スペア交換（事故）
SO-2505-39133,パンク,レッカー
SO-2505-39136,エンスト,レッカー
SO-2505-39148,エンスト,レッカー
SO-2505-39259,エンジン不始動,レッカー
SO-2505-39320,事故,"レッカー,追衝突の引き出し"
SO-2505-39373,バッテリー,ジャンピング
SO-2505-39492,事故,追衝突の引き出し
SO-2505-39498,パンク,レッカー
SO-2505-39535,その他,レッカー
SO-2505-39539,パンク,スペア交換
SO-2505-39635,パンク,レッカー
SO-2505-39654,パンク,レッカー
SO-2505-39749,エンジン不始動,レッカー
SO-2505-39750,バッテリー,"その他（故障）,レッカー"
SO-2505-39751,事故,"レッカー,横転・転覆・落車"
SO-2505-39847,その他,レッカー
SO-2505-39947,パンク,レッカー
SO-2505-39956,エンスト,レッカー
SO-2505-40013,事故,レッカー
SO-2505-40157,事故,レッカー
SO-2505-40175,事故,レッカー
SO-2505-40203,その他,レッカー
SO-2505-40295,事故,追衝突の引き出し
SO-2505-40307,事故,レッカー
SO-2505-40360,バッテリー,ジャンピング
SO-2505-40375,事故,"レッカー,横転・転覆・落車"
SO-2505-40539,バッテリー,バッテリー販売
SO-2505-40777,パンク,レッカー
SO-2505-40803,パンク,レッカー
SO-2505-40871,脱輪,脱輪・乗り上げ2本超
SO-2505-40927,パンク,レッカー
SO-2505-41099,パンク,レッカー
SO-2505-41254,ガス欠,ガソリン配達（継続契約）
SO-2505-41311,エンスト,"レッカー,その他（故障）"
SO-2505-41686,オーバーヒート,レッカー
SO-2505-41692,エンジン不始動,その他（故障）
SO-2505-41721,エンジン不始動,その他（故障）
SO-2505-41830,エンスト,レッカー
SO-2505-41843,エンスト,レッカー
SO-2505-41864,事故,レッカー
SO-2505-41971,エンスト,レッカー
SO-2505-42054,事故,追衝突の引き出し
SO-2505-42057,バッテリー,ジャンピング
SO-2505-42197,バッテリー,ジャンピング
SO-2505-42233,バッテリー,その他（故障）
SO-2505-42234,バッテリー,バッテリー販売
SO-2505-42268,バッテリー,ジャンピング
SO-2505-42537,その他,ジャンピング
SO-2505-42622,バッテリー,バッテリー販売
SO-2505-42627,インロック,インロック（ドア）
SO-2505-42639,ガス欠,ガソリン配達（継続契約）
SO-2505-42684,インロック,インロック（ドア）
SO-2505-42803,その他,レッカー
SO-2505-42853,インロック,インロック（ドア）
SO-2505-42977,その他,レッカー
SO-2505-43081,バッテリー,ジャンピング
SO-2505-43097,バッテリー,ジャンピング
SO-2505-43108,インロック,インロック（ドア）
SO-2505-43110,バッテリー,ジャンピング
SO-2505-43284,事故,レッカー
SO-2505-43315,その他,レッカー
SO-2505-43491,事故,レッカー
SO-2505-43494,事故,レッカー
SO-2505-43496,バッテリー,ジャンピング
SO-2505-43503,パンク,レッカー
SO-2505-43520,バッテリー,バッテリー販売
SO-2505-43553,事故,追衝突の引き出し
SO-2505-43631,事故,レッカー
SO-2505-43633,その他,レッカー
SO-2505-43775,事故,レッカー
SO-2505-43806,事故,"レッカー,脱輪・乗り上げ1本"
SO-2505-43896,事故,レッカー
SO-2505-43904,バッテリー,ジャンピング
SO-2505-43905,脱輪,脱輪・乗り上げ2本超
SO-2505-43925,その他,レッカー
SO-2505-43935,事故,レッカー
SO-2505-43976,バッテリー,ジャンピング
SO-2505-44222,ガス欠,"レッカー,ガソリン配達（新規契約）"
SO-2505-44306,事故,追衝突の引き出し
SO-2505-44378,パンク,スペア交換（事故）
SO-2505-44404,脱輪,脱輪・乗り上げ2本超
SO-2505-44419,パンク,レッカー
SO-2505-44421,バッテリー,ジャンピング
SO-2505-44430,バッテリー,ジャンピング
SO-2505-44436,パンク,レッカー
SO-2505-44443,インロック,インロック（ドア）
SO-2505-44444,事故,レッカー
